"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: aResourcesXitem","Param: bDifficulty","Param: cSample"
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.dTestRandomBI","avgt",1,15,78.490438,10.425496,"ms/op",OR10x250-,0.25,_4
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.dTestRandomBI","avgt",1,15,86.118340,16.400682,"ms/op",OR10x250-,0.25,_5
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.dTestRandomBI","avgt",1,15,73.649062,11.155773,"ms/op",OR10x250-,0.25,_6
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.dTestRandomBI","avgt",1,15,65.601291,8.515804,"ms/op",OR10x250-,0.25,_7
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.dTestRandomBI","avgt",1,15,77.996872,12.484040,"ms/op",OR10x250-,0.25,_8
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.dTestRandomBI","avgt",1,15,90.067793,11.928680,"ms/op",OR10x250-,0.25,_9
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.dTestRandomBI","avgt",1,15,70.310235,13.197429,"ms/op",OR10x250-,0.25,_10
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.dTestRandomBI","avgt",1,15,100.031657,16.545047,"ms/op",OR10x250-,0.50,_1
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.dTestRandomBI","avgt",1,15,115.503119,19.308153,"ms/op",OR10x250-,0.50,_2
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.dTestRandomBI","avgt",1,15,110.812972,16.338700,"ms/op",OR10x250-,0.50,_3
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.dTestRandomBI","avgt",1,15,108.051605,14.606722,"ms/op",OR10x250-,0.50,_4
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.dTestRandomBI","avgt",1,15,135.173350,19.846315,"ms/op",OR10x250-,0.50,_5
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.dTestRandomBI","avgt",1,15,186.037876,30.827591,"ms/op",OR10x250-,0.50,_6
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.dTestRandomBI","avgt",1,15,155.153740,19.519154,"ms/op",OR10x250-,0.50,_7
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.dTestRandomBI","avgt",1,15,107.427582,16.825516,"ms/op",OR10x250-,0.50,_8
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.dTestRandomBI","avgt",1,15,132.703110,18.094429,"ms/op",OR10x250-,0.50,_9
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.dTestRandomBI","avgt",1,15,123.503675,17.007906,"ms/op",OR10x250-,0.50,_10
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.dTestRandomBI","avgt",1,15,68.173845,12.346714,"ms/op",OR10x250-,0.75,_1
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.dTestRandomBI","avgt",1,15,76.186108,10.027498,"ms/op",OR10x250-,0.75,_2
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.dTestRandomBI","avgt",1,15,70.851984,6.822647,"ms/op",OR10x250-,0.75,_3
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.dTestRandomBI","avgt",1,15,81.659440,9.095868,"ms/op",OR10x250-,0.75,_4
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.dTestRandomBI","avgt",1,15,97.649618,11.896485,"ms/op",OR10x250-,0.75,_5
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.dTestRandomBI","avgt",1,15,65.101902,8.054788,"ms/op",OR10x250-,0.75,_6
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.dTestRandomBI","avgt",1,15,66.727155,11.934827,"ms/op",OR10x250-,0.75,_7
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.dTestRandomBI","avgt",1,15,67.814739,13.510806,"ms/op",OR10x250-,0.75,_8
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.dTestRandomBI","avgt",1,15,57.426979,7.775043,"ms/op",OR10x250-,0.75,_9
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.dTestRandomBI","avgt",1,15,66.736112,10.541691,"ms/op",OR10x250-,0.75,_10
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.eTestGreedyBI","avgt",1,1,0.801182,NaN,"ms/op",OR10x100-,0.25,_1
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.eTestGreedyBI","avgt",1,1,1.673791,NaN,"ms/op",OR10x100-,0.25,_2
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.eTestGreedyBI","avgt",1,1,1.184431,NaN,"ms/op",OR10x100-,0.25,_3
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.eTestGreedyBI","avgt",1,1,0.816250,NaN,"ms/op",OR10x100-,0.25,_4
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.eTestGreedyBI","avgt",1,1,0.826464,NaN,"ms/op",OR10x100-,0.25,_5
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.eTestGreedyBI","avgt",1,1,1.212715,NaN,"ms/op",OR10x100-,0.25,_6
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.eTestGreedyBI","avgt",1,1,2.998677,NaN,"ms/op",OR10x100-,0.25,_7
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.eTestGreedyBI","avgt",1,1,2.118086,NaN,"ms/op",OR10x100-,0.25,_8
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.eTestGreedyBI","avgt",1,1,1.694998,NaN,"ms/op",OR10x100-,0.25,_9
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.eTestGreedyBI","avgt",1,1,1.563409,NaN,"ms/op",OR10x100-,0.25,_10
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.eTestGreedyBI","avgt",1,1,2.411860,NaN,"ms/op",OR10x100-,0.50,_1
