"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: aResourcesXitem","Param: bDifficulty","Param: cSample"
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.ga10x100Instances","avgt",1,5,100199.639919,614.932308,"ms/op",OR10x100-,0.25,_1
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.ga10x100Instances","avgt",1,5,100186.366665,602.525023,"ms/op",OR10x100-,0.25,_2
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.ga10x100Instances","avgt",1,5,100176.514160,574.773982,"ms/op",OR10x100-,0.25,_3
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.ga10x100Instances","avgt",1,5,100195.798447,552.034757,"ms/op",OR10x100-,0.25,_4
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.ga10x100Instances","avgt",1,5,100182.210931,594.550123,"ms/op",OR10x100-,0.25,_5
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.ga10x100Instances","avgt",1,5,100175.835766,605.763309,"ms/op",OR10x100-,0.25,_6
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.ga10x100Instances","avgt",1,5,100198.373690,710.497750,"ms/op",OR10x100-,0.25,_7
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.ga10x100Instances","avgt",1,5,100177.288168,599.424792,"ms/op",OR10x100-,0.25,_8
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.ga10x100Instances","avgt",1,5,100202.125653,675.811470,"ms/op",OR10x100-,0.25,_9
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.ga10x100Instances","avgt",1,5,100202.671191,673.715184,"ms/op",OR10x100-,0.25,_10
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.ga10x100Instances","avgt",1,5,100244.761615,777.106439,"ms/op",OR10x100-,0.50,_1
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.ga10x100Instances","avgt",1,5,100260.725695,766.628032,"ms/op",OR10x100-,0.50,_2
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.ga10x100Instances","avgt",1,5,100240.592119,727.794681,"ms/op",OR10x100-,0.50,_3
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.ga10x100Instances","avgt",1,5,100278.739814,795.483451,"ms/op",OR10x100-,0.50,_4
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.ga10x100Instances","avgt",1,5,100254.509225,777.114900,"ms/op",OR10x100-,0.50,_5
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.ga10x100Instances","avgt",1,5,100250.736368,721.534804,"ms/op",OR10x100-,0.50,_6
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.ga10x100Instances","avgt",1,5,100242.062538,758.369533,"ms/op",OR10x100-,0.50,_7
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.ga10x100Instances","avgt",1,5,100265.465005,802.215698,"ms/op",OR10x100-,0.50,_8
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.ga10x100Instances","avgt",1,5,100242.717090,773.220666,"ms/op",OR10x100-,0.50,_9
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.ga10x100Instances","avgt",1,5,100237.711899,714.610421,"ms/op",OR10x100-,0.50,_10
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.ga10x100Instances","avgt",1,5,100178.808973,618.309279,"ms/op",OR10x100-,0.75,_1
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.ga10x100Instances","avgt",1,5,100177.962427,630.106403,"ms/op",OR10x100-,0.75,_2
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.ga10x100Instances","avgt",1,5,100161.157078,622.170687,"ms/op",OR10x100-,0.75,_3
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.ga10x100Instances","avgt",1,5,100201.268896,946.999650,"ms/op",OR10x100-,0.75,_4
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.ga10x100Instances","avgt",1,5,100179.476849,645.507535,"ms/op",OR10x100-,0.75,_5
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.ga10x100Instances","avgt",1,5,100171.959749,656.010540,"ms/op",OR10x100-,0.75,_6
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.ga10x100Instances","avgt",1,5,100158.203508,586.932435,"ms/op",OR10x100-,0.75,_7
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.ga10x100Instances","avgt",1,5,100167.984102,635.796101,"ms/op",OR10x100-,0.75,_8
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.ga10x100Instances","avgt",1,5,100183.553186,642.703212,"ms/op",OR10x100-,0.75,_9
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.ga10x100Instances","avgt",1,5,100181.592390,723.956048,"ms/op",OR10x100-,0.75,_10
