"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: aResourcesXitem","Param: bDifficulty","Param: cSample"
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.sa10x250Instances","avgt",1,5,250008.665529,29.527776,"ms/op",OR10x250-,0.25,_1
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.sa10x250Instances","avgt",1,5,250007.739666,30.373190,"ms/op",OR10x250-,0.25,_2
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.sa10x250Instances","avgt",1,5,250007.697294,22.966976,"ms/op",OR10x250-,0.25,_3
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.sa10x250Instances","avgt",1,5,250006.168867,17.382931,"ms/op",OR10x250-,0.25,_4
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.sa10x250Instances","avgt",1,5,250010.745403,24.131197,"ms/op",OR10x250-,0.25,_5
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.sa10x250Instances","avgt",1,5,250005.841133,25.673770,"ms/op",OR10x250-,0.25,_6
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.sa10x250Instances","avgt",1,5,250007.931359,21.082037,"ms/op",OR10x250-,0.25,_7
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.sa10x250Instances","avgt",1,5,250010.274249,23.538362,"ms/op",OR10x250-,0.25,_8
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.sa10x250Instances","avgt",1,5,250009.129975,28.481386,"ms/op",OR10x250-,0.25,_9
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.sa10x250Instances","avgt",1,5,250009.930283,28.762254,"ms/op",OR10x250-,0.25,_10
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.sa10x250Instances","avgt",1,5,250010.535475,23.345109,"ms/op",OR10x250-,0.50,_1
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.sa10x250Instances","avgt",1,5,250007.532669,28.818650,"ms/op",OR10x250-,0.50,_2
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.sa10x250Instances","avgt",1,5,250009.859243,26.948664,"ms/op",OR10x250-,0.50,_3
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.sa10x250Instances","avgt",1,5,250013.561052,28.415842,"ms/op",OR10x250-,0.50,_4
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.sa10x250Instances","avgt",1,5,250011.626673,28.097009,"ms/op",OR10x250-,0.50,_5
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.sa10x250Instances","avgt",1,5,250010.652214,30.530339,"ms/op",OR10x250-,0.50,_6
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.sa10x250Instances","avgt",1,5,250008.863335,14.555050,"ms/op",OR10x250-,0.50,_7
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.sa10x250Instances","avgt",1,5,250009.968646,20.914980,"ms/op",OR10x250-,0.50,_8
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.sa10x250Instances","avgt",1,5,250010.906885,37.644137,"ms/op",OR10x250-,0.50,_9
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.sa10x250Instances","avgt",1,5,250007.085099,18.313485,"ms/op",OR10x250-,0.50,_10
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.sa10x250Instances","avgt",1,5,250011.235100,4.456603,"ms/op",OR10x250-,0.75,_1
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.sa10x250Instances","avgt",1,5,250005.951339,23.165524,"ms/op",OR10x250-,0.75,_2
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.sa10x250Instances","avgt",1,5,250006.357578,16.060421,"ms/op",OR10x250-,0.75,_3
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.sa10x250Instances","avgt",1,5,250009.607498,17.988316,"ms/op",OR10x250-,0.75,_4
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.sa10x250Instances","avgt",1,5,250009.276077,18.056750,"ms/op",OR10x250-,0.75,_5
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.sa10x250Instances","avgt",1,5,250004.774184,28.958139,"ms/op",OR10x250-,0.75,_6
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.sa10x250Instances","avgt",1,5,250008.721087,15.031870,"ms/op",OR10x250-,0.75,_7
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.sa10x250Instances","avgt",1,5,250006.624432,22.658288,"ms/op",OR10x250-,0.75,_8
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.sa10x250Instances","avgt",1,5,250007.597465,19.315465,"ms/op",OR10x250-,0.75,_9
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.sa10x250Instances","avgt",1,5,250007.900919,16.200169,"ms/op",OR10x250-,0.75,_10
